来源,时间,消息ID,资源,本地路径,处理结果
group-history-01,2026-07-31 14:31,om_x100b69f05c24dca8b4c161e7654530c,KTH-Innovation-Readiness-Level_Compiled_F_print.pdf,.local/reference/support/20260731-method/KTH-Innovation-Readiness-Level_Compiled_F_print.pdf,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-31 14:31,om_x100b69f05c244438b499a512bddff73,kth-irl-evaluator-v0.1.5-internal-preview.zip,.local/reference/originals/20260731-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-31 14:31,om_x100b69f05c203cb4b1272b70d3b0ca4,KTH-IRL-dashboard_C(1).xlsx,.local/reference/support/20260731-method/KTH-IRL-dashboard_C(1).xlsx,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-01 12:25,om_x100b69e31d01e4acb206bddbac7f25a,KTH-IRL-v0.1.4-to-v0.1.5-diff-for-IT.zh-CN.md,.local/reference/support/20260801-version-diff/KTH-IRL-v0.1.4-to-v0.1.5-diff-for-IT.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 09:30,om_x100b69dd950428a8b2ef07079e78ef5,Pre-A高管及客户访谈.zip,.local/reference/samples/weijiu/inputs/Pre-A高管及客户访谈.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 09:30,om_x100b69dd950434a0b491ec524f9e5da,微玖光电BP260716.pdf,.local/reference/samples/weijiu/inputs/微玖光电BP260716.pdf,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 10:16,om_x100b69dec912ecacb03c68628e495f2,kth-irl-v0.1.5-it-development-handoff.zh-CN.md,.local/reference/support/20260802-handoff/kth-irl-v0.1.5-it-development-handoff.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 10:16,om_x100b69dec92ec0a8b202a77a3dedce1,kth-irl-three-handoff-comparison.zh-CN.md,.local/reference/support/20260802-handoff/kth-irl-three-handoff-comparison.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 10:16,om_x100b69dec6c9a4a4b106c9697a0e1a1,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260802-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 19:27,om_x100b69c6d4a578a0b4a177974e29689,会话产物-1785670031366.zip,.local/reference/samples/weijiu/platform-output/会话产物-1785670031366.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-02 22:03,om_x100b69c0ad54fca4b3993a21b7a9a6e,https://e0fwpv9vf0.feishu.cn/file/CCgpbgfMYolS5wxBhi3cjiaJnhh,,已核元数据为微玖中间输出；无导出权限，未下载，未申请权限
group-history-01,2026-08-03 18:46,om_x100b6833586fe4b4b1cf61500e2ccd8,数字化与AI双轮驱动-决策汇报 (1).docx,,其他数字化/AI决策汇报，不属于KTH案例；不下载
group-history-01,2026-08-08 15:30,om_x100b6859fddfd4a8b1fb9d7709255b3,kth-irl-v0.1.5-full-workflow-and-hitl.zh-CN等3个文件.zip,.local/reference/support/20260808-handoff/kth-irl-v0.1.5-full-workflow-and-hitl.zh-CN等3个文件.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-08 15:30,om_x100b6859fde5d0a8b3ee3e0d16cb4ab,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260808-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-10 10:15,om_x100b68a70a685908dfa7d572ba73729,kth-irl-微玖光电-评估报告.md,.local/reference/samples/weijiu/user-output/kth-irl-微玖光电-评估报告.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-10 10:24,om_x100b68a72998e4a4b1fb27da7a8c15e,微玖（苏州）光电科技有限公司 项目投资评估.docx,.local/reference/samples/weijiu/colleague-output/微玖（苏州）光电科技有限公司 项目投资评估.docx,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-10 10:28,om_x100b68a73b0deca8b18057214352255,investment-analyst-report.zh-CN.md,.local/reference/support/20260810-report-reference/investment-analyst-report.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-12 09:24,om_x100b6888fd1cacb0b215cbb6f111b69,舜宇集团2026年半年度工作会议参会人员名单-20260811.xlsx,,参会人员名单，非KTH需求或测试样本；不下载
group-history-01,2026-08-12 10:58,om_x100b688a5ac528a8b4c80ae2f9f7302,参会人员使用情况_20260812.xlsx,,参会人员使用统计，非KTH需求或测试样本；不下载
group-history-01,2026-08-28 11:28,om_x100b66244b8e70a4b2a801ff1ad45ad,kth-irl-evaluator-v0.1.5-internal-preview.zip.sha256,.local/reference/originals/20260828-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip.sha256,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-28 11:28,om_x100b66244b9014b8b26a53207e391b1,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260828-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-08-28 11:28,om_x100b66244ba5ece0b1b6e0e8b2bdb58,kth-irl-evaluator-v0.1.5-internal-preview.zip,.local/reference/originals/20260828-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip,已下载并校验；原文/成员读取范围见补充报告
p2p-history-01,2026-09-01 11:25,om_x100b665014bc40a0c4ad6c866d387d9,本次对话完整运行日志-20260901-105351.zip,.local/reference/samples/weijiu/user-failure-logs/本次对话完整运行日志-20260901-105351.zip,已下载并校验；原文/成员读取范围见补充报告
p2p-history-01,2026-09-01 11:26,om_x100b66501244dca8c28552734a471cb,KTH_IRL_本次对话完整分析包_2026-09-01.zip,.local/reference/samples/weijiu/user-analysis-package/KTH_IRL_本次对话完整分析包_2026-09-01.zip,已下载并校验；原文/成员读取范围见补充报告
p2p-history-01,2026-09-01 13:24,om_x100b6652592084a0b36efe7f3b221dc,KTH-IRL-v0.1.5-IT复盘与成功日志参考包-20260901.zip,.local/reference/support/20260901-success-reference/KTH-IRL-v0.1.5-IT复盘与成功日志参考包-20260901.zip,已下载并校验；原文/成员读取范围见补充报告
