编号,发送时间,来源会话,消息ID,原文件名,仓内相对路径,字节数,SHA256,代码PY文件数,代码物理行数,计数口径,处置
A20,2026-07-31 14:31,指定群,om_x100b69f05c203cb4b1272b70d3b0ca4,KTH-IRL-dashboard_C(1).xlsx,.local/reference/support/20260731-method/KTH-IRL-dashboard_C(1).xlsx,49671,10eb775b00aecf4aeec7c7b94fee86247c245898f73a00dfbd492be0ccd3b648,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A21,2026-07-31 14:31,指定群,om_x100b69f05c2abca4b1491443291c44d,KTH-IRL-user-guide_A-1.pdf,.local/reference/support/20260731-method/KTH-IRL-user-guide_A-1.pdf,704213,4668831a5ad986c4ad46828e7edfebb920cadd9ea91166a906ecd613d774fda4,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A22,2026-07-29 16:34,指定群,om_x100b69afe144d8a8c21afee052694db,Monako_Glass_面向舜宇光学_技术研发计划书重写版(2).docx,.local/reference/samples/monako/alternative-input/Monako_Glass_面向舜宇光学_技术研发计划书重写版(2).docx,47639,7fda334692284c3af3eb63b2c7364edafd68b539fbc19e8f16fd72d7334515c7,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A23,2026-07-29 18:53,指定群,om_x100b69a9f45490a4b15a262dd917692,Monako 投资立项决策报告.pdf,.local/reference/samples/monako/colleague-output/Monako 投资立项决策报告.pdf,855736,6b1a7d6df2b6034611b640557c7e4c9c72c7a4e311f6d2114ea2d00cd40fe408,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A24,2026-07-29 18:53,指定群,om_x100b69a9f4f7eca0b283c80281d6fb2,Monako+BP+2026V5_update.pdf,.local/reference/samples/monako/inputs/Monako+BP+2026V5_update.pdf,1749792,cd2cc9bda7efd22456add6a4d59c9ebaf60a173e6d23505441324ff75a0ff409,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A25,2026-07-29 18:53,指定群,om_x100b69a9f4f798b4b2efd49a1a88024,Monako_01-05.zip,.local/reference/samples/monako/inputs/Monako_01-05.zip,20317913,501f8e982f0745236c00f5fb43fec69f0051e48210988f8d4408153a1b05479b,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A26,2026-07-30 01:28,指定群,om_x100b6997cb47b8a0dd2dedfbdec6a13,Monako-投资立项决策报告.pdf,.local/reference/samples/monako/user-output/Monako-投资立项决策报告.pdf,353008,6b706e9db579584e940c42f7942c63a9da728d119184015cb3bb314ef2b8fb9f,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A27,2026-09-01 11:26,指定私聊,om_x100b66501244dca8c28552734a471cb,KTH_IRL_本次对话完整分析包_2026-09-01.zip,.local/reference/samples/weijiu/user-analysis-package/KTH_IRL_本次对话完整分析包_2026-09-01.zip,12992612,a3eb121f6686bb2b52f9192894f83e0a248c0a4c40aa6f45a4218e71d473a53d,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A28,2026-09-01 11:25,指定私聊,om_x100b665014bc40a0c4ad6c866d387d9,本次对话完整运行日志-20260901-105351.zip,.local/reference/samples/weijiu/user-failure-logs/本次对话完整运行日志-20260901-105351.zip,8433605,6ffc148e2cd60281570e03da645c08128d3e7ba9e61105cdd6e887a68f2b4acd,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A29,2026-08-02 19:27,指定群,om_x100b69c6d4a578a0b4a177974e29689,会话产物-1785670031366.zip,.local/reference/samples/weijiu/platform-output/会话产物-1785670031366.zip,42408,9c84c94dcc4e9fcf19b58fdc44c6eddf237b8482c78ceccf82f95524c56d8b11,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A30,2026-08-02 09:30,指定群,om_x100b69dd950434a0b491ec524f9e5da,微玖光电BP260716.pdf,.local/reference/samples/weijiu/inputs/微玖光电BP260716.pdf,3355758,d2d8a79d6b5202e6b15f7db44c5b14db6125ee025f880e510beab6d2df4284e8,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A31,2026-08-10 10:24,指定群,om_x100b68a72998e4a4b1fb27da7a8c15e,微玖（苏州）光电科技有限公司 项目投资评估.docx,.local/reference/samples/weijiu/colleague-output/微玖（苏州）光电科技有限公司 项目投资评估.docx,143043,1f0cf0fe1eef0c01565c7a6740dafa12aa15f68f04cfdcbae5b9565871c379f3,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A32,2026-08-02 09:30,指定群,om_x100b69dd950428a8b2ef07079e78ef5,Pre-A高管及客户访谈.zip,.local/reference/samples/weijiu/inputs/Pre-A高管及客户访谈.zip,79326,12d7ab408f01ed81d484559a94b3557d216e18b7dd60fc7b63d30778d85034a7,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A33,2026-08-10 10:15,指定群,om_x100b68a70a685908dfa7d572ba73729,kth-irl-微玖光电-评估报告.md,.local/reference/samples/weijiu/user-output/kth-irl-微玖光电-评估报告.md,26062,9ff7b7ac46d76e3ea7a707b601844400b9636f1b46469a5d42eb1beb28a7c6c4,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
